Name,Hersteller,Funktion
Service 2757,SOP,Sprachverarbeitung
Service 2758,Fraunhofer IPA,Assistenz
Service 2759,Fraunhofer IPA,Analyse
Service 2760,HAW,"Automatisierung,Mustererkennung"
Service 2761,HAW,"Optimierung,Mustererkennung"
Service 2762,HAW,"Assistenz,Diagnose,Clustering"
Service 2763,HAW,Optimierung
Service 2764,HAW,"Diagnose,Automatisierung"
Service 2765,HAW,"Mustererkennung,Empfehlung"
Service 2766,HAW,"Clustering,Optimierung"
Service 2767,HAW,"Assistenz,Mustererkennung,Generierung"
Service 2768,Fraunhofer IPA,Empfehlung
Service 2769,Fraunhofer IPA,Kommunikation
Service 2770,SOP,Sprachverarbeitung
Service 2771,HAW,"Diagnose,Assistenz"
Service 2772,SOP,Ueberwachung
Service 2773,Fraunhofer IPA,"Optimierung,Automatisierung,Analyse"
Service 2774,HAW,"Assistenz,Diagnose,Ueberwachung"
Service 2775,SOP,"Diagnose,Ueberwachung,Mustererkennung"
Service 2776,HAW,"Empfehlung,Automatisierung,Generierung"
Service 2777,Fraunhofer IPA,"Mustererkennung,Empfehlung,Diagnose"
Service 2778,HAW,Sprachverarbeitung
Service 2779,HAW,Analyse
Service 2780,HAW,"Diagnose,Mustererkennung"
Service 2781,SOP,"Generierung,Automatisierung"
Service 2782,HAW,"Kommunikation,Sprachverarbeitung"
Service 2783,Fraunhofer IPA,"Empfehlung,Automatisierung"
Service 2784,SOP,"Ueberwachung,Optimierung,Sprachverarbeitung"
Service 2785,SOP,Kommunikation
Service 2786,Fraunhofer IPA,"Clustering,Sprachverarbeitung,Mustererkennung"
Service 2787,Fraunhofer IPA,"Analyse,Optimierung"
Service 2788,HAW,Automatisierung
Service 2789,SOP,"Kommunikation,Assistenz,Optimierung"
Service 2790,HAW,Sprachverarbeitung
Service 2791,SOP,Optimierung
Service 2792,SOP,"Sprachverarbeitung,Generierung,Ueberwachung"
Service 2793,SOP,Automatisierung
Service 2794,HAW,"Generierung,Mustererkennung,Optimierung"
Service 2795,HAW,Clustering
Service 2796,SOP,Automatisierung
Service 2797,Fraunhofer IPA,"Diagnose,Assistenz,Ueberwachung"
Service 2798,HAW,"Analyse,Ueberwachung"
Service 2799,HAW,"Diagnose,Analyse,Ueberwachung"
Service 2800,Fraunhofer IPA,Clustering
Service 2801,HAW,"Optimierung,Assistenz"
Service 2802,SOP,Automatisierung
Service 2803,Fraunhofer IPA,"Generierung,Clustering"
Service 2804,HAW,Diagnose
Service 2805,SOP,"Generierung,Optimierung,Kommunikation"
Service 2806,SOP,Empfehlung
Service 2807,Fraunhofer IPA,Clustering
Service 2808,Fraunhofer IPA,"Kommunikation,Sprachverarbeitung"
Service 2809,HAW,"Ueberwachung,Generierung,Optimierung"
Service 2810,SOP,"Clustering,Ueberwachung,Assistenz"
Service 2811,HAW,"Automatisierung,Assistenz,Sprachverarbeitung"
Service 2812,HAW,"Optimierung,Assistenz,Ueberwachung"
Service 2813,HAW,"Analyse,Automatisierung"
Service 2814,Fraunhofer IPA,"Sprachverarbeitung,Clustering,Automatisierung"
Service 2815,Fraunhofer IPA,"Kommunikation,Generierung,Empfehlung"
Service 2816,Fraunhofer IPA,"Empfehlung,Kommunikation"
Service 2817,SOP,"Ueberwachung,Mustererkennung"
Service 2818,Fraunhofer IPA,Assistenz
Service 2819,HAW,Optimierung
Service 2820,SOP,"Sprachverarbeitung,Assistenz,Empfehlung"
Service 2821,SOP,"Assistenz,Automatisierung"
Service 2822,HAW,"Clustering,Sprachverarbeitung,Ueberwachung"
Service 2823,SOP,Analyse
Service 2824,SOP,"Ueberwachung,Kommunikation,Sprachverarbeitung"
Service 2825,SOP,"Optimierung,Mustererkennung"
Service 2826,SOP,"Kommunikation,Analyse,Generierung"
Service 2827,Fraunhofer IPA,"Ueberwachung,Mustererkennung"
Service 2828,HAW,"Analyse,Mustererkennung,Diagnose"
Service 2829,HAW,Diagnose
Service 2830,HAW,Generierung
Service 2831,SOP,Mustererkennung
Service 2832,Fraunhofer IPA,"Kommunikation,Optimierung,Assistenz"
Service 2833,Fraunhofer IPA,"Diagnose,Clustering,Empfehlung"
Service 2834,SOP,"Mustererkennung,Clustering"
Service 2835,HAW,"Diagnose,Assistenz"
Service 2836,HAW,"Assistenz,Empfehlung"
Service 2837,Fraunhofer IPA,"Assistenz,Diagnose"
Service 2838,SOP,"Ueberwachung,Mustererkennung"
Service 2839,SOP,"Generierung,Sprachverarbeitung"
Service 2840,HAW,Empfehlung
Service 2841,SOP,"Clustering,Kommunikation"
Service 2842,Fraunhofer IPA,"Ueberwachung,Diagnose,Assistenz"
Service 2843,Fraunhofer IPA,"Analyse,Sprachverarbeitung"
Service 2844,SOP,Clustering
Service 2845,SOP,"Automatisierung,Empfehlung,Generierung"
Service 2846,SOP,"Optimierung,Diagnose"
Service 2847,HAW,"Mustererkennung,Assistenz,Analyse"
Service 2848,SOP,"Kommunikation,Optimierung"
Service 2849,SOP,Diagnose
Service 2850,HAW,"Automatisierung,Empfehlung,Generierung"
Service 2851,Fraunhofer IPA,"Analyse,Diagnose,Ueberwachung"
Service 2852,Fraunhofer IPA,"Analyse,Automatisierung,Sprachverarbeitung"
Service 2853,Fraunhofer IPA,"Analyse,Generierung"
Service 2854,HAW,"Assistenz,Diagnose"
Service 2855,HAW,"Kommunikation,Automatisierung,Empfehlung"
Service 2856,HAW,"Empfehlung,Clustering"
Service 2857,SOP,"Analyse,Mustererkennung,Empfehlung"
Service 2858,SOP,"Mustererkennung,Ueberwachung"
Service 2859,HAW,Generierung
Service 2860,Fraunhofer IPA,Empfehlung
Service 2861,SOP,"Mustererkennung,Generierung,Analyse"
Service 2862,HAW,"Empfehlung,Kommunikation"
Service 2863,Fraunhofer IPA,Sprachverarbeitung
Service 2864,Fraunhofer IPA,Ueberwachung
Service 2865,SOP,"Ueberwachung,Optimierung,Clustering"
Service 2866,Fraunhofer IPA,"Empfehlung,Diagnose"
Service 2867,HAW,Mustererkennung
Service 2868,SOP,Empfehlung
Service 2869,Fraunhofer IPA,"Generierung,Assistenz,Kommunikation"
Service 2870,SOP,"Clustering,Sprachverarbeitung"
Service 2871,Fraunhofer IPA,"Diagnose,Empfehlung,Mustererkennung"
Service 2872,Fraunhofer IPA,Optimierung
Service 2873,Fraunhofer IPA,Empfehlung
Service 2874,HAW,"Kommunikation,Analyse"
Service 2875,SOP,Optimierung
Service 2876,SOP,"Clustering,Diagnose"
Service 2877,Fraunhofer IPA,"Mustererkennung,Sprachverarbeitung,Ueberwachung"
Service 2878,HAW,Optimierung
Service 2879,SOP,"Ueberwachung,Assistenz"
Service 2880,HAW,"Generierung,Analyse"
Service 2881,Fraunhofer IPA,Kommunikation
Service 2882,Fraunhofer IPA,"Analyse,Diagnose,Optimierung"
Service 2883,Fraunhofer IPA,"Assistenz,Automatisierung"
Service 2884,SOP,"Sprachverarbeitung,Diagnose"
Service 2885,HAW,"Empfehlung,Diagnose"
Service 2886,Fraunhofer IPA,"Diagnose,Kommunikation,Generierung"
Service 2887,SOP,"Diagnose,Automatisierung"
Service 2888,Fraunhofer IPA,"Mustererkennung,Ueberwachung"
Service 2889,HAW,"Generierung,Empfehlung"
Service 2890,Fraunhofer IPA,"Kommunikation,Sprachverarbeitung"
Service 2891,HAW,Assistenz
Service 2892,SOP,"Ueberwachung,Automatisierung,Mustererkennung"
Service 2893,SOP,"Analyse,Optimierung,Automatisierung"
Service 2894,Fraunhofer IPA,Generierung
Service 2895,Fraunhofer IPA,Diagnose
Service 2896,Fraunhofer IPA,"Diagnose,Ueberwachung"
Service 2897,HAW,"Optimierung,Empfehlung"
Service 2898,Fraunhofer IPA,Kommunikation
Service 2899,SOP,"Ueberwachung,Analyse"
Service 2900,HAW,"Automatisierung,Optimierung"
Service 2901,HAW,Optimierung
Service 2902,SOP,"Clustering,Generierung,Kommunikation"
Service 2903,HAW,"Ueberwachung,Mustererkennung"
Service 2904,SOP,"Clustering,Generierung"
Service 2905,SOP,"Optimierung,Assistenz,Mustererkennung"
Service 2906,HAW,Generierung
Service 2907,SOP,"Empfehlung,Sprachverarbeitung"
Service 2908,HAW,"Sprachverarbeitung,Ueberwachung"
Service 2909,Fraunhofer IPA,"Analyse,Diagnose"
Service 2910,SOP,"Generierung,Diagnose"
Service 2911,Fraunhofer IPA,"Generierung,Kommunikation"
Service 2912,HAW,Analyse
Service 2913,Fraunhofer IPA,Analyse
Service 2914,Fraunhofer IPA,Analyse
Service 2915,SOP,Kommunikation
Service 2916,Fraunhofer IPA,Mustererkennung
Service 2917,HAW,"Optimierung,Ueberwachung,Mustererkennung"
Service 2918,SOP,Generierung
Service 2919,HAW,"Automatisierung,Sprachverarbeitung"
Service 2920,Fraunhofer IPA,"Diagnose,Sprachverarbeitung,Optimierung"
Service 2921,HAW,Sprachverarbeitung
Service 2922,SOP,"Clustering,Mustererkennung"
Service 2923,SOP,"Analyse,Diagnose"
Service 2924,Fraunhofer IPA,Automatisierung
Service 2925,HAW,"Diagnose,Sprachverarbeitung,Assistenz"
Service 2926,Fraunhofer IPA,Assistenz
Service 2927,SOP,"Empfehlung,Automatisierung,Ueberwachung"
Service 2928,HAW,"Ueberwachung,Assistenz"
Service 2929,HAW,"Kommunikation,Ueberwachung,Analyse"
Service 2930,SOP,Clustering
Service 2931,Fraunhofer IPA,"Optimierung,Kommunikation,Diagnose"
Service 2932,SOP,"Sprachverarbeitung,Ueberwachung,Clustering"
Service 2933,HAW,"Clustering,Optimierung"
Service 2934,SOP,"Empfehlung,Generierung,Diagnose"
Service 2935,SOP,"Generierung,Sprachverarbeitung,Assistenz"
Service 2936,Fraunhofer IPA,Ueberwachung
Service 2937,Fraunhofer IPA,"Ueberwachung,Optimierung,Analyse"
Service 2938,Fraunhofer IPA,Analyse
Service 2939,Fraunhofer IPA,Optimierung
Service 2940,Fraunhofer IPA,"Clustering,Diagnose,Ueberwachung"
Service 2941,SOP,"Optimierung,Generierung,Sprachverarbeitung"
Service 2942,HAW,Diagnose
Service 2943,SOP,"Diagnose,Assistenz"
Service 2944,SOP,"Clustering,Assistenz,Ueberwachung"
Service 2945,SOP,"Mustererkennung,Analyse"
Service 2946,Fraunhofer IPA,"Ueberwachung,Kommunikation"
Service 2947,HAW,Diagnose
Service 2948,Fraunhofer IPA,Automatisierung
Service 2949,HAW,"Empfehlung,Diagnose,Optimierung"
Service 2950,SOP,"Ueberwachung,Analyse,Empfehlung"
Service 2951,SOP,"Diagnose,Optimierung"
Service 2952,HAW,"Mustererkennung,Empfehlung,Kommunikation"
Service 2953,SOP,Assistenz
Service 2954,HAW,"Sprachverarbeitung,Generierung,Automatisierung"
Service 2955,SOP,"Kommunikation,Assistenz,Optimierung"
Service 2956,HAW,"Empfehlung,Mustererkennung,Ueberwachung"
Service 2957,HAW,Assistenz
Service 2958,Fraunhofer IPA,Generierung
Service 2959,Fraunhofer IPA,"Empfehlung,Ueberwachung"
Service 2960,HAW,Sprachverarbeitung
Service 2961,Fraunhofer IPA,"Clustering,Optimierung"
Service 2962,HAW,"Kommunikation,Sprachverarbeitung,Mustererkennung"
Service 2963,SOP,Mustererkennung
Service 2964,Fraunhofer IPA,"Empfehlung,Ueberwachung,Automatisierung"
Service 2965,HAW,"Clustering,Ueberwachung"
Service 2966,HAW,"Assistenz,Mustererkennung,Diagnose"
Service 2967,Fraunhofer IPA,"Generierung,Analyse"
Service 2968,HAW,"Analyse,Ueberwachung"
Service 2969,SOP,"Mustererkennung,Clustering"
Service 2970,HAW,"Assistenz,Clustering,Kommunikation"
Service 2971,HAW,"Automatisierung,Analyse"
Service 2972,SOP,"Sprachverarbeitung,Automatisierung,Mustererkennung"
Service 2973,Fraunhofer IPA,Optimierung
Service 2974,Fraunhofer IPA,"Sprachverarbeitung,Diagnose"
Service 2975,SOP,"Generierung,Automatisierung"
Service 2976,HAW,"Ueberwachung,Automatisierung,Generierung"
Service 2977,Fraunhofer IPA,"Mustererkennung,Empfehlung"
Service 2978,SOP,"Optimierung,Ueberwachung"
Service 2979,SOP,Mustererkennung
Service 2980,SOP,"Analyse,Automatisierung,Diagnose"
Service 2981,SOP,"Automatisierung,Analyse,Empfehlung"
Service 2982,HAW,"Mustererkennung,Empfehlung,Kommunikation"
Service 2983,HAW,Ueberwachung
Service 2984,HAW,"Analyse,Assistenz,Clustering"
Service 2985,SOP,"Empfehlung,Ueberwachung,Analyse"
Service 2986,HAW,"Generierung,Analyse,Sprachverarbeitung"
Service 2987,SOP,"Automatisierung,Diagnose,Assistenz"
Service 2988,HAW,"Automatisierung,Analyse"
Service 2989,HAW,Kommunikation
Service 2990,Fraunhofer IPA,Kommunikation
Service 2991,SOP,Assistenz
Service 2992,HAW,"Optimierung,Clustering"
Service 2993,Fraunhofer IPA,Optimierung
Service 2994,Fraunhofer IPA,"Mustererkennung,Diagnose,Clustering"
Service 2995,HAW,"Generierung,Assistenz,Clustering"
Service 2996,Fraunhofer IPA,"Kommunikation,Optimierung"
Service 2997,HAW,"Diagnose,Clustering"
Service 2998,HAW,"Sprachverarbeitung,Ueberwachung"
Service 2999,Fraunhofer IPA,"Kommunikation,Sprachverarbeitung"
Service 3000,Fraunhofer IPA,"Kommunikation,Diagnose,Ueberwachung"
Service 3001,SOP,"Assistenz,Analyse"
Service 3002,SOP,"Mustererkennung,Kommunikation"
Service 3003,Fraunhofer IPA,"Clustering,Mustererkennung,Ueberwachung"
Service 3004,HAW,"Sprachverarbeitung,Diagnose,Generierung"
Service 3005,SOP,"Assistenz,Analyse,Sprachverarbeitung"
Service 3006,SOP,Clustering
Service 3007,Fraunhofer IPA,Analyse
Service 3008,Fraunhofer IPA,Analyse
Service 3009,Fraunhofer IPA,Analyse
Service 3010,SOP,"Mustererkennung,Diagnose,Sprachverarbeitung"
Service 3011,Fraunhofer IPA,"Sprachverarbeitung,Ueberwachung"
Service 3012,Fraunhofer IPA,"Mustererkennung,Ueberwachung,Automatisierung"
Service 3013,HAW,Generierung
Service 3014,HAW,"Assistenz,Optimierung"
Service 3015,Fraunhofer IPA,Kommunikation
Service 3016,SOP,"Automatisierung,Empfehlung,Clustering"
Service 3017,Fraunhofer IPA,"Empfehlung,Mustererkennung,Sprachverarbeitung"
Service 3018,Fraunhofer IPA,"Sprachverarbeitung,Mustererkennung,Automatisierung"
Service 3019,HAW,"Generierung,Clustering,Ueberwachung"
Service 3020,Fraunhofer IPA,"Diagnose,Analyse"
Service 3021,Fraunhofer IPA,"Automatisierung,Sprachverarbeitung"
Service 3022,HAW,"Sprachverarbeitung,Empfehlung"
Service 3023,SOP,Clustering
Service 3024,Fraunhofer IPA,"Ueberwachung,Diagnose,Empfehlung"
Service 3025,HAW,"Optimierung,Assistenz"
Service 3026,SOP,Analyse
Service 3027,SOP,"Kommunikation,Assistenz"
Service 3028,HAW,Clustering
Service 3029,HAW,Sprachverarbeitung
Service 3030,Fraunhofer IPA,"Assistenz,Optimierung"
Service 3031,HAW,Empfehlung
Service 3032,SOP,"Generierung,Mustererkennung"
Service 3033,HAW,Analyse
Service 3034,HAW,"Assistenz,Empfehlung,Diagnose"
Service 3035,SOP,"Empfehlung,Kommunikation,Automatisierung"
Service 3036,HAW,"Generierung,Clustering"
Service 3037,SOP,"Clustering,Analyse,Ueberwachung"
Service 3038,SOP,"Clustering,Generierung"
Service 3039,Fraunhofer IPA,"Diagnose,Analyse"
Service 3040,SOP,"Assistenz,Mustererkennung"
Service 3041,SOP,"Automatisierung,Generierung,Optimierung"
Service 3042,SOP,"Mustererkennung,Assistenz"
Service 3043,Fraunhofer IPA,Sprachverarbeitung
Service 3044,SOP,Ueberwachung
Service 3045,HAW,Diagnose
Service 3046,HAW,Ueberwachung
Service 3047,SOP,Ueberwachung
Service 3048,HAW,"Assistenz,Kommunikation"
Service 3049,Fraunhofer IPA,"Empfehlung,Automatisierung,Analyse"
Service 3050,Fraunhofer IPA,"Mustererkennung,Diagnose,Clustering"
Service 3051,SOP,Assistenz
Service 3052,SOP,"Mustererkennung,Automatisierung,Assistenz"
Service 3053,SOP,"Diagnose,Automatisierung"
Service 3054,SOP,Diagnose
Service 3055,SOP,"Assistenz,Automatisierung,Ueberwachung"
Service 3056,HAW,"Mustererkennung,Optimierung"
Service 3057,SOP,"Automatisierung,Ueberwachung"
Service 3058,Fraunhofer IPA,"Optimierung,Diagnose"
Service 3059,SOP,"Automatisierung,Generierung,Clustering"
Service 3060,Fraunhofer IPA,"Generierung,Assistenz,Ueberwachung"
Service 3061,SOP,"Optimierung,Ueberwachung,Analyse"
Service 3062,SOP,Assistenz
Service 3063,Fraunhofer IPA,Automatisierung
Service 3064,SOP,Automatisierung
Service 3065,HAW,"Mustererkennung,Assistenz"
Service 3066,HAW,"Automatisierung,Kommunikation"
Service 3067,SOP,"Analyse,Ueberwachung"
Service 3068,Fraunhofer IPA,Empfehlung
Service 3069,SOP,"Ueberwachung,Assistenz,Automatisierung"
Service 3070,Fraunhofer IPA,Empfehlung
Service 3071,Fraunhofer IPA,Analyse
Service 3072,HAW,"Automatisierung,Ueberwachung,Mustererkennung"
Service 3073,SOP,"Sprachverarbeitung,Automatisierung"
Service 3074,SOP,Automatisierung
Service 3075,HAW,"Optimierung,Clustering"
Service 3076,HAW,"Ueberwachung,Empfehlung,Diagnose"
Service 3077,SOP,"Mustererkennung,Automatisierung,Clustering"
Service 3078,SOP,Ueberwachung
Service 3079,HAW,"Optimierung,Kommunikation"
Service 3080,Fraunhofer IPA,"Kommunikation,Ueberwachung,Sprachverarbeitung"
Service 3081,HAW,"Diagnose,Assistenz,Automatisierung"
Service 3082,SOP,Analyse
Service 3083,SOP,"Automatisierung,Clustering"
Service 3084,HAW,Optimierung
Service 3085,HAW,"Generierung,Diagnose,Sprachverarbeitung"
Service 3086,SOP,"Mustererkennung,Ueberwachung,Clustering"
Service 3087,Fraunhofer IPA,Empfehlung
Service 3088,HAW,"Clustering,Optimierung"
Service 3089,Fraunhofer IPA,"Ueberwachung,Generierung,Assistenz"
Service 3090,SOP,Assistenz
Service 3091,Fraunhofer IPA,"Assistenz,Clustering"
Service 3092,Fraunhofer IPA,Assistenz
Service 3093,SOP,"Automatisierung,Analyse"
Service 3094,Fraunhofer IPA,Assistenz
Service 3095,HAW,Diagnose
Service 3096,HAW,"Optimierung,Ueberwachung,Automatisierung"
Service 3097,SOP,"Mustererkennung,Assistenz"
Service 3098,Fraunhofer IPA,"Ueberwachung,Mustererkennung,Clustering"
Service 3099,Fraunhofer IPA,Analyse
Service 3100,Fraunhofer IPA,Analyse
Service 3101,SOP,Empfehlung
Service 3102,HAW,"Mustererkennung,Analyse"
Service 3103,HAW,"Kommunikation,Diagnose,Mustererkennung"
Service 3104,SOP,"Empfehlung,Assistenz"
Service 3105,Fraunhofer IPA,"Ueberwachung,Empfehlung"
Service 3106,HAW,"Diagnose,Generierung"
Service 3107,SOP,Analyse
Service 3108,HAW,Automatisierung
Service 3109,HAW,Empfehlung
Service 3110,HAW,"Clustering,Assistenz"
Service 3111,HAW,Empfehlung
Service 3112,SOP,"Kommunikation,Sprachverarbeitung,Automatisierung"
Service 3113,HAW,"Empfehlung,Assistenz,Automatisierung"
Service 3114,Fraunhofer IPA,Kommunikation
Service 3115,SOP,"Automatisierung,Diagnose,Clustering"
Service 3116,Fraunhofer IPA,Generierung
Service 3117,Fraunhofer IPA,"Kommunikation,Mustererkennung"
Service 3118,HAW,Automatisierung
Service 3119,SOP,Empfehlung
Service 3120,SOP,"Mustererkennung,Kommunikation,Automatisierung"
Service 3121,HAW,Analyse
Service 3122,HAW,"Ueberwachung,Kommunikation"
Service 3123,SOP,Generierung
Service 3124,Fraunhofer IPA,"Mustererkennung,Generierung"
Service 3125,Fraunhofer IPA,"Kommunikation,Ueberwachung,Empfehlung"
Service 3126,Fraunhofer IPA,"Diagnose,Optimierung,Kommunikation"
Service 3127,SOP,"Mustererkennung,Sprachverarbeitung,Diagnose"
Service 3128,Fraunhofer IPA,Kommunikation
Service 3129,SOP,Optimierung
Service 3130,Fraunhofer IPA,"Generierung,Ueberwachung,Optimierung"
Service 3131,HAW,Assistenz
Service 3132,Fraunhofer IPA,Mustererkennung
Service 3133,Fraunhofer IPA,Clustering
Service 3134,Fraunhofer IPA,"Kommunikation,Automatisierung"
Service 3135,Fraunhofer IPA,"Diagnose,Kommunikation"
Service 3136,SOP,Generierung
Service 3137,HAW,"Sprachverarbeitung,Automatisierung,Analyse"
Service 3138,Fraunhofer IPA,"Sprachverarbeitung,Mustererkennung"
Service 3139,SOP,"Analyse,Diagnose,Kommunikation"
Service 3140,HAW,"Ueberwachung,Automatisierung,Optimierung"
Service 3141,SOP,"Mustererkennung,Optimierung,Ueberwachung"
Service 3142,HAW,"Empfehlung,Optimierung"
Service 3143,SOP,"Clustering,Optimierung,Assistenz"
Service 3144,SOP,"Sprachverarbeitung,Ueberwachung"
Service 3145,SOP,Mustererkennung
Service 3146,HAW,"Kommunikation,Clustering,Optimierung"
Service 3147,HAW,Diagnose
Service 3148,Fraunhofer IPA,"Mustererkennung,Generierung,Assistenz"
Service 3149,Fraunhofer IPA,"Diagnose,Ueberwachung"
Service 3150,SOP,"Ueberwachung,Sprachverarbeitung"
Service 3151,HAW,Assistenz
Service 3152,SOP,"Optimierung,Kommunikation"
Service 3153,Fraunhofer IPA,"Diagnose,Generierung"
Service 3154,HAW,"Assistenz,Generierung,Empfehlung"
Service 3155,HAW,"Generierung,Mustererkennung"
Service 3156,Fraunhofer IPA,Sprachverarbeitung
Service 3157,SOP,"Optimierung,Mustererkennung,Ueberwachung"
Service 3158,HAW,"Mustererkennung,Assistenz"
Service 3159,Fraunhofer IPA,"Automatisierung,Analyse,Sprachverarbeitung"
Service 3160,HAW,"Assistenz,Empfehlung"
Service 3161,SOP,Generierung
Service 3162,SOP,"Optimierung,Kommunikation,Automatisierung"
Service 3163,HAW,Ueberwachung
Service 3164,SOP,"Sprachverarbeitung,Ueberwachung,Clustering"
Service 3165,SOP,"Clustering,Analyse"
Service 3166,Fraunhofer IPA,"Empfehlung,Mustererkennung"
Service 3167,HAW,"Automatisierung,Mustererkennung,Analyse"
Service 3168,Fraunhofer IPA,Empfehlung
Service 3169,SOP,"Diagnose,Kommunikation"
Service 3170,SOP,"Diagnose,Clustering,Optimierung"
Service 3171,SOP,Clustering
Service 3172,Fraunhofer IPA,"Optimierung,Diagnose,Kommunikation"
Service 3173,Fraunhofer IPA,"Kommunikation,Sprachverarbeitung,Ueberwachung"
Service 3174,SOP,"Assistenz,Empfehlung"
Service 3175,Fraunhofer IPA,Sprachverarbeitung
Service 3176,SOP,"Optimierung,Ueberwachung"
Service 3177,SOP,Clustering
Service 3178,Fraunhofer IPA,"Analyse,Clustering"
Service 3179,HAW,"Empfehlung,Kommunikation,Diagnose"
Service 3180,SOP,"Sprachverarbeitung,Empfehlung,Optimierung"
Service 3181,Fraunhofer IPA,Empfehlung
Service 3182,SOP,"Mustererkennung,Optimierung,Empfehlung"
Service 3183,SOP,Assistenz
Service 3184,SOP,"Optimierung,Analyse"
Service 3185,HAW,"Sprachverarbeitung,Assistenz,Diagnose"
Service 3186,HAW,"Ueberwachung,Generierung,Sprachverarbeitung"
Service 3187,Fraunhofer IPA,Ueberwachung
Service 3188,Fraunhofer IPA,"Mustererkennung,Automatisierung,Sprachverarbeitung"
Service 3189,Fraunhofer IPA,"Sprachverarbeitung,Diagnose,Kommunikation"
Service 3190,SOP,"Sprachverarbeitung,Assistenz,Analyse"
Service 3191,HAW,"Mustererkennung,Sprachverarbeitung"
Service 3192,SOP,"Generierung,Empfehlung,Kommunikation"
Service 3193,HAW,"Assistenz,Generierung,Analyse"
Service 3194,SOP,"Empfehlung,Mustererkennung,Diagnose"
Service 3195,Fraunhofer IPA,"Assistenz,Generierung,Diagnose"
Service 3196,SOP,"Mustererkennung,Kommunikation"
Service 3197,SOP,"Generierung,Assistenz"
Service 3198,Fraunhofer IPA,Generierung
Service 3199,SOP,Automatisierung
Service 3200,SOP,"Ueberwachung,Kommunikation"
Service 3201,Fraunhofer IPA,Generierung
Service 3202,SOP,Assistenz
Service 3203,SOP,"Automatisierung,Assistenz,Mustererkennung"
Service 3204,SOP,Diagnose
Service 3205,Fraunhofer IPA,"Generierung,Mustererkennung,Ueberwachung"
Service 3206,Fraunhofer IPA,Mustererkennung
Service 3207,HAW,Empfehlung
Service 3208,SOP,"Assistenz,Ueberwachung,Sprachverarbeitung"
Service 3209,SOP,"Sprachverarbeitung,Ueberwachung,Analyse"
Service 3210,Fraunhofer IPA,"Clustering,Sprachverarbeitung,Automatisierung"
Service 3211,Fraunhofer IPA,"Kommunikation,Mustererkennung,Sprachverarbeitung"
Service 3212,SOP,"Empfehlung,Clustering"
Service 3213,SOP,Analyse
Service 3214,SOP,"Ueberwachung,Automatisierung,Empfehlung"
Service 3215,HAW,"Mustererkennung,Sprachverarbeitung"
Service 3216,HAW,"Automatisierung,Assistenz,Kommunikation"
Service 3217,SOP,"Analyse,Generierung"
Service 3218,Fraunhofer IPA,"Empfehlung,Ueberwachung"
Service 3219,SOP,Ueberwachung
Service 3220,HAW,"Generierung,Empfehlung"
Service 3221,Fraunhofer IPA,"Clustering,Kommunikation"
Service 3222,HAW,Diagnose
Service 3223,Fraunhofer IPA,"Optimierung,Diagnose"
Service 3224,HAW,"Generierung,Optimierung"
Service 3225,HAW,Kommunikation
Service 3226,Fraunhofer IPA,"Optimierung,Sprachverarbeitung,Empfehlung"
Service 3227,HAW,"Diagnose,Assistenz"
Service 3228,Fraunhofer IPA,"Analyse,Mustererkennung,Empfehlung"
Service 3229,Fraunhofer IPA,"Sprachverarbeitung,Generierung,Diagnose"
Service 3230,HAW,Ueberwachung
Service 3231,SOP,"Assistenz,Analyse"
Service 3232,SOP,"Generierung,Mustererkennung,Clustering"
Service 3233,SOP,"Mustererkennung,Automatisierung,Assistenz"
Service 3234,Fraunhofer IPA,"Generierung,Clustering,Diagnose"
Service 3235,HAW,Assistenz
Service 3236,SOP,"Sprachverarbeitung,Analyse,Optimierung"
Service 3237,Fraunhofer IPA,Kommunikation
Service 3238,HAW,"Ueberwachung,Empfehlung"
Service 3239,Fraunhofer IPA,Analyse
Service 3240,HAW,"Ueberwachung,Generierung"
Service 3241,SOP,"Ueberwachung,Automatisierung,Generierung"
Service 3242,HAW,"Ueberwachung,Optimierung"
Service 3243,SOP,"Kommunikation,Analyse"
Service 3244,SOP,"Kommunikation,Generierung,Ueberwachung"
Service 3245,SOP,Empfehlung
Service 3246,HAW,Assistenz
Service 3247,Fraunhofer IPA,"Sprachverarbeitung,Mustererkennung"
Service 3248,SOP,Kommunikation
Service 3249,HAW,Diagnose
Service 3250,Fraunhofer IPA,"Optimierung,Generierung,Kommunikation"
Service 3251,SOP,"Sprachverarbeitung,Kommunikation,Mustererkennung"
Service 3252,SOP,Optimierung
Service 3253,Fraunhofer IPA,Clustering
Service 3254,HAW,"Analyse,Mustererkennung"
Service 3255,HAW,"Optimierung,Automatisierung,Sprachverarbeitung"
Service 3256,HAW,"Optimierung,Generierung,Mustererkennung"
Service 3257,SOP,"Optimierung,Kommunikation"
Service 3258,HAW,"Empfehlung,Clustering,Diagnose"
Service 3259,SOP,Generierung
Service 3260,SOP,"Assistenz,Ueberwachung"
Service 3261,Fraunhofer IPA,"Kommunikation,Mustererkennung,Clustering"
Service 3262,HAW,"Kommunikation,Optimierung,Automatisierung"
Service 3263,Fraunhofer IPA,"Optimierung,Analyse"
Service 3264,Fraunhofer IPA,"Clustering,Automatisierung,Kommunikation"
Service 3265,HAW,"Kommunikation,Sprachverarbeitung,Mustererkennung"
Service 3266,SOP,"Diagnose,Assistenz,Mustererkennung"
Service 3267,HAW,Clustering
Service 3268,HAW,"Sprachverarbeitung,Empfehlung"
