Name,Typ,DurchsatzProStunde,Werkstoff,Werkzeuge,Bearbeitungsart
Maschine 2931,3D-Drucker,8888,Metall,Greifer,3D-Drucken
Maschine 2932,CNC-Fräse,8863,Metall,"Bohrer,Prismenfräser","Schneiden,Drehen,Drehen"
Maschine 2933,Wasserstrahlschneidmaschine,7177,"Stein,Kunststoff,Holz",Wasserstrahl,Schneiden
Maschine 2934,CNC-Fräse,934,"Holz,Stein","Walzfräser,Bohrer","Drehen,Fräsen,Drehen"
Maschine 2935,Spritzgussmaschine,7050,Metall,Duese,Giessen
Maschine 2936,Druckmaschine,3992,Papier,Tintenstrahl,Drucken
Maschine 2937,Wasserstrahlschneidmaschine,3360,"Keramik,Holz",Wasserstrahl,Schneiden
Maschine 2938,Verpackungsmaschine,3966,Kunststoff,Foerderband,Biegen
Maschine 2939,Schleifmaschine,6727,"Kunststoff,Stein,Metall",Schleifpapier,Schleifen
Maschine 2940,Presse,5358,"Metall,Kunststoff",Messer,Pressen
Maschine 2941,Schleifmaschine,4539,"Metall,Kunststoff",Schleifpapier,Schleifen
Maschine 2942,CNC-Fräse,2461,"Kunststoff,Stein,Holz","Bohrer,Prismenfräser,Walzfräser","Drehen,Schleifen"
Maschine 2943,Presse,1411,"Kunststoff,Holz,Metall",Messer,Pressen
Maschine 2944,Roboterarm,9186,"Stein,Keramik,Verbundwerkstoff","Bohrer,Messer","Biegen,Fräsen,Schneiden"
Maschine 2945,Drehmaschine,424,"Holz,Kunststoff,Stein","Messer,Prismenfräser",Drehen
Maschine 2946,Verpackungsmaschine,6858,Kunststoff,Foerderband,Biegen
Maschine 2947,FTS,8273,"Gummi,Keramik,Verbundwerkstoff",Greifer,Transportieren
Maschine 2948,Druckmaschine,830,Textil,"Laser,Tintenstrahl,Lackierpistole",Drucken
Maschine 2949,Roboterarm,1007,Keramik,"Greifer,Wasserstrahl","Lackieren,Bohren,Biegen"
Maschine 2950,Laserschneidmaschine,7965,"Verbundwerkstoff,Stein",Heizelement,"Schneiden,Stanzen,Fräsen"
Maschine 2951,Lackiermaschine,3715,"Glas,Metall",Lackierpistole,Lackieren
Maschine 2952,3D-Drucker,7725,Kunststoff,Duese,3D-Drucken
Maschine 2953,Druckmaschine,9594,Keramik,Tintenstrahl,Lackieren
Maschine 2954,Laserschneidmaschine,6939,Kunststoff,Heizelement,"Bohren,Stanzen,Fräsen"
Maschine 2955,Lackiermaschine,7401,Verbundwerkstoff,Lackierpistole,Lackieren
Maschine 2956,3D-Drucker,156,Metall,Duese,3D-Drucken
Maschine 2957,Verpackungsmaschine,2782,Papier,Foerderband,Transportieren
Maschine 2958,Laserschneidmaschine,7790,Kunststoff,Laser,"Schneiden,Stanzen,Bohren"
Maschine 2959,3D-Drucker,9283,Metall,Duese,3D-Drucken
Maschine 2960,Spritzgussmaschine,9546,Metall,Duese,Giessen
Maschine 2961,Schleifmaschine,6386,"Kunststoff,Holz,Metall",Schleifpapier,Schleifen
Maschine 2962,Verpackungsmaschine,7920,Papier,Foerderband,Transportieren
Maschine 2963,Druckmaschine,9654,"Papier,Textil",Heizelement,Drucken
Maschine 2964,Laserschneidmaschine,9285,Verbundwerkstoff,Heizelement,"Fräsen,Schneiden,Bohren"
Maschine 2965,Lackiermaschine,4291,Kunststoff,Lackierpistole,Lackieren
Maschine 2966,Laserschneidmaschine,9095,"Holz,Verbundwerkstoff",Heizelement,Schneiden
Maschine 2967,Presse,6621,"Metall,Kunststoff",Messer,Pressen
Maschine 2968,FTS,7424,"Gummi,Papier,Verbundwerkstoff",Greifer,Transportieren
Maschine 2969,Schleifmaschine,8645,"Holz,Metall,Stein",Schleifpapier,Schleifen
Maschine 2970,3D-Drucker,9328,Kunststoff,Greifer,3D-Drucken
Maschine 2971,Verpackungsmaschine,5904,Papier,Foerderband,Biegen
Maschine 2972,CNC-Fräse,5533,"Stein,Holz,Kunststoff",Walzfräser,"Drehen,Schleifen,Schneiden"
Maschine 2973,Verpackungsmaschine,1786,Papier,Foerderband,Biegen
Maschine 2974,CNC-Fräse,4022,"Stein,Holz,Kunststoff","Prismenfräser,Walzfräser,Bohrer","Drehen,Schleifen,Schneiden"
Maschine 2975,Laserschneidmaschine,3075,Verbundwerkstoff,Laser,Fräsen
Maschine 2976,CNC-Fräse,6927,"Kunststoff,Metall,Stein","Prismenfräser,Bohrer,Walzfräser","Drehen,Fräsen,Schleifen"
Maschine 2977,Drehmaschine,6269,Holz,"Bohrer,Messer",Drehen
Maschine 2978,Drehmaschine,3454,"Kunststoff,Stein","Bohrer,Messer,Prismenfräser",Drehen
Maschine 2979,Laserschneidmaschine,6266,"Glas,Verbundwerkstoff",Heizelement,"Schneiden,Bohren,Fräsen"
Maschine 2980,Drehmaschine,4742,"Metall,Stein,Holz","Messer,Bohrer,Prismenfräser",Drehen
Maschine 2981,Lackiermaschine,4652,Stein,Lackierpistole,Lackieren
Maschine 2982,Roboterarm,8424,Keramik,Messer,"Bohren,Lackieren,Schneiden"
Maschine 2983,FTS,7082,"Stein,Verbundwerkstoff",Greifer,Transportieren
Maschine 2984,CNC-Fräse,1640,Kunststoff,"Walzfräser,Bohrer,Prismenfräser",Drehen
Maschine 2985,Druckmaschine,5041,"Papier,Textil,Holz","Lackierpistole,Tintenstrahl,Laser",Lackieren
Maschine 2986,Lackiermaschine,5486,"Stein,Glas,Verbundwerkstoff",Lackierpistole,Lackieren
Maschine 2987,Schleifmaschine,7784,"Holz,Stein",Schleifpapier,Schleifen
Maschine 2988,Drehmaschine,4668,Holz,Messer,Drehen
Maschine 2989,Lackiermaschine,5373,"Kunststoff,Metall",Lackierpistole,Lackieren
Maschine 2990,Schleifmaschine,172,Holz,Schleifpapier,Schleifen
Maschine 2991,Verpackungsmaschine,7025,Papier,Foerderband,Biegen
Maschine 2992,Wasserstrahlschneidmaschine,8089,Verbundwerkstoff,Wasserstrahl,Schneiden
Maschine 2993,CNC-Fräse,5596,"Kunststoff,Holz","Prismenfräser,Bohrer",Drehen
Maschine 2994,Spritzgussmaschine,5225,Metall,Duese,Giessen
Maschine 2995,Wasserstrahlschneidmaschine,8787,"Metall,Keramik",Wasserstrahl,Schneiden
Maschine 2996,Laserschneidmaschine,9290,Holz,Laser,"Schneiden,Bohren"
Maschine 2997,Presse,176,Kunststoff,Messer,Stanzen
Maschine 2998,Verpackungsmaschine,7056,Papier,Foerderband,Transportieren
Maschine 2999,Schleifmaschine,9824,"Holz,Kunststoff,Metall",Schleifpapier,Schleifen
Maschine 3000,Spritzgussmaschine,7633,Metall,Duese,Giessen
Maschine 3001,Laserschneidmaschine,3547,"Verbundwerkstoff,Holz",Heizelement,"Stanzen,Schneiden"
Maschine 3002,Spritzgussmaschine,2824,Metall,Duese,Giessen
Maschine 3003,Lackiermaschine,4727,"Metall,Stein",Lackierpistole,Lackieren
Maschine 3004,Drehmaschine,5864,"Holz,Stein,Kunststoff","Walzfräser,Bohrer,Prismenfräser",Drehen
Maschine 3005,Druckmaschine,5327,"Keramik,Holz,Textil",Laser,Lackieren
Maschine 3006,Drehmaschine,8204,Stein,"Walzfräser,Bohrer",Drehen
Maschine 3007,Roboterarm,249,Glas,"Messer,Schleifpapier","Schneiden,Bohren,Schweißen"
Maschine 3008,Lackiermaschine,4278,"Verbundwerkstoff,Kunststoff,Stein",Lackierpistole,Lackieren
Maschine 3009,Verpackungsmaschine,7109,Kunststoff,Foerderband,Biegen
Maschine 3010,Wasserstrahlschneidmaschine,9628,Verbundwerkstoff,Wasserstrahl,Schneiden
Maschine 3011,3D-Drucker,3966,Metall,Greifer,3D-Drucken
Maschine 3012,Spritzgussmaschine,1257,Metall,Duese,Giessen
Maschine 3013,3D-Drucker,4074,Metall,Greifer,3D-Drucken
Maschine 3014,3D-Drucker,6744,Kunststoff,Duese,3D-Drucken
Maschine 3015,Drehmaschine,7770,"Kunststoff,Stein,Holz","Walzfräser,Bohrer,Prismenfräser",Drehen
Maschine 3016,Wasserstrahlschneidmaschine,589,"Keramik,Glas",Wasserstrahl,Schneiden
Maschine 3017,Wasserstrahlschneidmaschine,8180,"Kunststoff,Metall",Wasserstrahl,Schneiden
Maschine 3018,Spritzgussmaschine,2356,Metall,Duese,Giessen
Maschine 3019,3D-Drucker,2876,Kunststoff,Greifer,3D-Drucken
Maschine 3020,Wasserstrahlschneidmaschine,3127,"Holz,Glas",Wasserstrahl,Schneiden
Maschine 3021,FTS,4678,Gummi,Greifer,Transportieren
Maschine 3022,Drehmaschine,5852,"Stein,Kunststoff","Messer,Walzfräser,Prismenfräser",Drehen
Maschine 3023,3D-Drucker,7947,Kunststoff,Greifer,3D-Drucken
Maschine 3024,Presse,2268,Metall,Messer,Stanzen
Maschine 3025,Verpackungsmaschine,1761,Kunststoff,Foerderband,Transportieren
Maschine 3026,Schleifmaschine,7416,"Kunststoff,Metall,Holz",Schleifpapier,Schleifen
Maschine 3027,FTS,6145,"Glas,Stein,Gummi",Greifer,Transportieren
Maschine 3028,Spritzgussmaschine,1519,Metall,Duese,Giessen
Maschine 3029,FTS,4324,Beton,Greifer,Transportieren
Maschine 3030,Spritzgussmaschine,8321,Metall,Duese,Giessen
Maschine 3031,Wasserstrahlschneidmaschine,8353,"Kunststoff,Beton",Wasserstrahl,Schneiden
Maschine 3032,FTS,4779,"Metall,Stein,Glas",Greifer,Transportieren
Maschine 3033,Druckmaschine,2013,"Keramik,Papier","Laser,Heizelement",Lackieren
Maschine 3034,Schleifmaschine,8479,"Stein,Kunststoff,Metall",Schleifpapier,Schleifen
Maschine 3035,Presse,5731,"Holz,Metall",Messer,Pressen
Maschine 3036,Spritzgussmaschine,7869,Metall,Duese,Giessen
Maschine 3037,Drehmaschine,4984,"Holz,Kunststoff,Stein","Bohrer,Prismenfräser,Walzfräser",Drehen
Maschine 3038,Schleifmaschine,1458,"Metall,Stein",Schleifpapier,Schleifen
Maschine 3039,CNC-Fräse,3627,Metall,Prismenfräser,"Fräsen,Drehen,Schleifen"
Maschine 3040,Druckmaschine,361,"Textil,Holz","Laser,Lackierpistole,Heizelement",Lackieren
Maschine 3041,Wasserstrahlschneidmaschine,4708,"Stein,Keramik,Beton",Wasserstrahl,Schneiden
Maschine 3042,FTS,7339,"Metall,Gummi",Greifer,Transportieren
Maschine 3043,FTS,2024,"Keramik,Metall,Glas",Greifer,Transportieren
Maschine 3044,Wasserstrahlschneidmaschine,1696,"Keramik,Beton",Wasserstrahl,Schneiden
Maschine 3045,3D-Drucker,1478,Metall,Greifer,3D-Drucken
Maschine 3046,Schleifmaschine,4185,"Metall,Kunststoff,Holz",Schleifpapier,Schleifen
Maschine 3047,Druckmaschine,6671,"Textil,Holz","Laser,Heizelement,Tintenstrahl",Drucken
Maschine 3048,Schleifmaschine,5631,"Stein,Kunststoff",Schleifpapier,Schleifen
Maschine 3049,Verpackungsmaschine,6884,Papier,Foerderband,Transportieren
Maschine 3050,Laserschneidmaschine,7749,Verbundwerkstoff,Laser,"Fräsen,Schneiden"
Maschine 3051,Drehmaschine,7620,Metall,"Messer,Walzfräser,Bohrer",Drehen
Maschine 3052,Lackiermaschine,5739,Metall,Lackierpistole,Lackieren
Maschine 3053,Schleifmaschine,1514,"Stein,Kunststoff,Holz",Schleifpapier,Schleifen
Maschine 3054,Drehmaschine,803,"Kunststoff,Stein,Metall","Bohrer,Prismenfräser,Messer",Drehen
Maschine 3055,Lackiermaschine,5417,"Metall,Verbundwerkstoff",Lackierpistole,Lackieren
Maschine 3056,Drehmaschine,1741,"Metall,Stein,Kunststoff",Walzfräser,Drehen
Maschine 3057,Druckmaschine,2655,"Keramik,Holz","Heizelement,Tintenstrahl,Laser",Lackieren
Maschine 3058,Presse,504,Metall,Messer,Stanzen
Maschine 3059,Schleifmaschine,8238,"Kunststoff,Stein,Holz",Schleifpapier,Schleifen
Maschine 3060,Druckmaschine,6532,"Holz,Papier","Lackierpistole,Tintenstrahl,Laser",Lackieren
Maschine 3061,Drehmaschine,8396,"Kunststoff,Stein,Metall",Messer,Drehen
Maschine 3062,Schleifmaschine,6544,"Metall,Kunststoff",Schleifpapier,Schleifen
Maschine 3063,CNC-Fräse,9667,"Kunststoff,Holz,Stein",Walzfräser,"Drehen,Schleifen"
Maschine 3064,Wasserstrahlschneidmaschine,8247,"Stein,Metall",Wasserstrahl,Schneiden
Maschine 3065,Laserschneidmaschine,9902,"Holz,Kunststoff",Laser,"Stanzen,Schneiden"
Maschine 3066,Drehmaschine,2358,"Stein,Holz","Bohrer,Messer",Drehen
Maschine 3067,Schleifmaschine,2533,"Stein,Kunststoff",Schleifpapier,Schleifen
Maschine 3068,Roboterarm,2147,Textil,Wolframelektrode,"3D-Drucken,Transportieren,Bohren"
Maschine 3069,Schleifmaschine,8490,"Kunststoff,Metall,Stein",Schleifpapier,Schleifen
Maschine 3070,Verpackungsmaschine,7791,Papier,Foerderband,Transportieren
Maschine 3071,Roboterarm,1559,"Textil,Kunststoff,Papier","Wasserstrahl,Bohrer,Messer","Schweißen,3D-Drucken,Transportieren"
Maschine 3072,CNC-Fräse,7616,Kunststoff,"Prismenfräser,Bohrer","Fräsen,Schleifen"
Maschine 3073,Verpackungsmaschine,2285,Papier,Foerderband,Biegen
Maschine 3074,3D-Drucker,6939,Metall,Duese,3D-Drucken
Maschine 3075,Wasserstrahlschneidmaschine,1974,"Beton,Kunststoff,Glas",Wasserstrahl,Schneiden
Maschine 3076,Roboterarm,4266,Keramik,"Schleifpapier,Messer,Bohrer","Schneiden,Schweißen,Fräsen"
Maschine 3077,Lackiermaschine,876,Kunststoff,Lackierpistole,Lackieren
Maschine 3078,CNC-Fräse,9492,"Metall,Stein",Bohrer,Schleifen
Maschine 3079,Schleifmaschine,2062,"Kunststoff,Holz",Schleifpapier,Schleifen
Maschine 3080,FTS,9604,"Textil,Beton",Greifer,Transportieren
Maschine 3081,CNC-Fräse,3696,Holz,"Prismenfräser,Walzfräser,Bohrer","Fräsen,Drehen"
Maschine 3082,Lackiermaschine,1452,"Verbundwerkstoff,Metall,Kunststoff",Lackierpistole,Lackieren
Maschine 3083,Schleifmaschine,1758,"Stein,Kunststoff",Schleifpapier,Schleifen
Maschine 3084,Laserschneidmaschine,5948,"Glas,Stein",Heizelement,Schneiden
Maschine 3085,3D-Drucker,2163,Kunststoff,Duese,3D-Drucken
Maschine 3086,Lackiermaschine,3047,"Holz,Metall",Lackierpistole,Lackieren
Maschine 3087,Spritzgussmaschine,4998,Metall,Duese,Giessen
Maschine 3088,FTS,2688,"Glas,Textil,Holz",Greifer,Transportieren
Maschine 3089,Druckmaschine,4121,"Textil,Keramik",Heizelement,Drucken
Maschine 3090,FTS,455,Kunststoff,Greifer,Transportieren
Maschine 3091,FTS,3148,"Glas,Kunststoff",Greifer,Transportieren
Maschine 3092,Drehmaschine,6959,"Holz,Kunststoff","Messer,Walzfräser",Drehen
Maschine 3093,3D-Drucker,2193,Kunststoff,Greifer,3D-Drucken
Maschine 3094,Roboterarm,3560,"Verbundwerkstoff,Textil,Glas",Greifer,Fräsen
Maschine 3095,Verpackungsmaschine,2204,Papier,Foerderband,Biegen
Maschine 3096,Presse,8246,Metall,Messer,Pressen
Maschine 3097,Schleifmaschine,6504,Kunststoff,Schleifpapier,Schleifen
Maschine 3098,Laserschneidmaschine,1912,"Kunststoff,Metall,Verbundwerkstoff",Heizelement,"Bohren,Stanzen"
Maschine 3099,Laserschneidmaschine,7522,"Kunststoff,Metall,Glas",Heizelement,"Stanzen,Bohren"
Maschine 3100,Druckmaschine,1467,Textil,Laser,Drucken
Maschine 3101,Schleifmaschine,8603,"Holz,Kunststoff",Schleifpapier,Schleifen
Maschine 3102,Verpackungsmaschine,4588,Kunststoff,Foerderband,Transportieren
Maschine 3103,Roboterarm,6616,"Kunststoff,Verbundwerkstoff,Papier","Messer,Greifer,Elektrode","Drehen,Fräsen,Bohren"
Maschine 3104,Laserschneidmaschine,3539,Kunststoff,Laser,Bohren
Maschine 3105,3D-Drucker,6199,Metall,Greifer,3D-Drucken
Maschine 3106,Roboterarm,8729,Glas,"Bohrer,Wolframelektrode","3D-Drucken,Lackieren,Transportieren"
Maschine 3107,Schleifmaschine,9396,"Stein,Metall,Holz",Schleifpapier,Schleifen
Maschine 3108,Presse,8849,"Holz,Kunststoff",Messer,Pressen
Maschine 3109,Drehmaschine,9293,"Holz,Metall,Kunststoff",Prismenfräser,Drehen
Maschine 3110,3D-Drucker,6782,Metall,Greifer,3D-Drucken
Maschine 3111,3D-Drucker,737,Metall,Greifer,3D-Drucken
Maschine 3112,Spritzgussmaschine,5172,Metall,Duese,Giessen
Maschine 3113,Lackiermaschine,6600,Kunststoff,Lackierpistole,Lackieren
Maschine 3114,FTS,4302,Keramik,Greifer,Transportieren
Maschine 3115,Lackiermaschine,1628,"Kunststoff,Holz,Glas",Lackierpistole,Lackieren
Maschine 3116,Verpackungsmaschine,5527,Kunststoff,Foerderband,Biegen
Maschine 3117,Verpackungsmaschine,1455,Papier,Foerderband,Biegen
Maschine 3118,Schleifmaschine,3851,"Kunststoff,Metall",Schleifpapier,Schleifen
Maschine 3119,CNC-Fräse,9029,"Holz,Stein,Kunststoff","Bohrer,Prismenfräser","Fräsen,Drehen"
Maschine 3120,Druckmaschine,7766,"Holz,Textil","Heizelement,Tintenstrahl,Lackierpistole",Drucken
Maschine 3121,CNC-Fräse,8273,"Stein,Metall","Prismenfräser,Bohrer,Walzfräser",Schneiden
Maschine 3122,Presse,8265,"Holz,Metall,Kunststoff",Messer,Stanzen
Maschine 3123,Laserschneidmaschine,2816,Verbundwerkstoff,Laser,"Schneiden,Bohren,Stanzen"
Maschine 3124,Lackiermaschine,7388,"Stein,Glas",Lackierpistole,Lackieren
Maschine 3125,FTS,7269,Stein,Greifer,Transportieren
Maschine 3126,Roboterarm,8057,Holz,"Wolframelektrode,Greifer,Lackierpistole",Fräsen
Maschine 3127,Presse,5596,Kunststoff,Messer,Pressen
Maschine 3128,Drehmaschine,2522,"Metall,Kunststoff","Bohrer,Prismenfräser",Drehen
Maschine 3129,Drehmaschine,5160,Stein,"Walzfräser,Prismenfräser,Bohrer",Drehen
Maschine 3130,CNC-Fräse,3471,"Metall,Holz,Stein","Bohrer,Walzfräser","Fräsen,Schleifen"
Maschine 3131,Schleifmaschine,4838,"Stein,Holz",Schleifpapier,Schleifen
Maschine 3132,3D-Drucker,9667,Metall,Duese,3D-Drucken
Maschine 3133,Schleifmaschine,7672,"Holz,Stein",Schleifpapier,Schleifen
Maschine 3134,3D-Drucker,9546,Kunststoff,Greifer,3D-Drucken
Maschine 3135,Drehmaschine,4411,"Metall,Holz","Walzfräser,Messer,Prismenfräser",Drehen
Maschine 3136,Lackiermaschine,5853,Glas,Lackierpistole,Lackieren
Maschine 3137,Presse,8854,"Kunststoff,Metall,Holz",Messer,Pressen
Maschine 3138,3D-Drucker,1214,Kunststoff,Greifer,3D-Drucken
Maschine 3139,Presse,4291,"Kunststoff,Holz,Metall",Messer,Pressen
Maschine 3140,Laserschneidmaschine,7681,"Kunststoff,Verbundwerkstoff",Laser,Schneiden
Maschine 3141,Lackiermaschine,3211,"Holz,Metall,Verbundwerkstoff",Lackierpistole,Lackieren
Maschine 3142,Schleifmaschine,7799,"Stein,Metall,Kunststoff",Schleifpapier,Schleifen
Maschine 3143,FTS,8069,Metall,Greifer,Transportieren
Maschine 3144,CNC-Fräse,676,"Stein,Kunststoff,Holz","Prismenfräser,Bohrer","Drehen,Fräsen,Drehen"
Maschine 3145,Drehmaschine,3386,"Stein,Kunststoff,Holz","Prismenfräser,Walzfräser",Drehen
Maschine 3146,Roboterarm,7437,Textil,"Lackierpistole,Wolframelektrode,Schleifpapier","Schneiden,Drehen"
Maschine 3147,Druckmaschine,6156,Textil,Heizelement,Lackieren
Maschine 3148,Lackiermaschine,5888,"Metall,Kunststoff",Lackierpistole,Lackieren
Maschine 3149,Druckmaschine,4017,"Holz,Papier",Tintenstrahl,Lackieren
Maschine 3150,Lackiermaschine,2618,"Verbundwerkstoff,Stein",Lackierpistole,Lackieren
Maschine 3151,Druckmaschine,3992,"Keramik,Textil,Holz",Tintenstrahl,Lackieren
Maschine 3152,Wasserstrahlschneidmaschine,2670,Holz,Wasserstrahl,Schneiden
Maschine 3153,3D-Drucker,4586,Kunststoff,Duese,3D-Drucken
Maschine 3154,Laserschneidmaschine,9380,"Verbundwerkstoff,Metall,Holz",Laser,"Schneiden,Fräsen"
Maschine 3155,Wasserstrahlschneidmaschine,5607,"Holz,Stein,Verbundwerkstoff",Wasserstrahl,Schneiden
Maschine 3156,Druckmaschine,7196,"Keramik,Papier,Textil","Tintenstrahl,Laser",Drucken
Maschine 3157,CNC-Fräse,8052,"Kunststoff,Stein",Walzfräser,"Schleifen,Drehen,Fräsen"
Maschine 3158,Wasserstrahlschneidmaschine,5319,Beton,Wasserstrahl,Schneiden
Maschine 3159,Druckmaschine,2963,Textil,"Laser,Heizelement,Tintenstrahl",Lackieren
Maschine 3160,3D-Drucker,2606,Kunststoff,Duese,3D-Drucken
Maschine 3161,Wasserstrahlschneidmaschine,7878,"Beton,Kunststoff,Keramik",Wasserstrahl,Schneiden
Maschine 3162,Druckmaschine,1413,Holz,"Tintenstrahl,Laser,Lackierpistole",Lackieren
Maschine 3163,CNC-Fräse,9751,"Holz,Metall","Prismenfräser,Walzfräser",Schneiden
Maschine 3164,FTS,7038,"Keramik,Kunststoff",Greifer,Transportieren
Maschine 3165,Roboterarm,1765,"Textil,Beton","Messer,Schleifpapier",3D-Drucken
Maschine 3166,Presse,6878,"Metall,Holz",Messer,Pressen
Maschine 3167,FTS,3175,"Kunststoff,Papier",Greifer,Transportieren
Maschine 3168,CNC-Fräse,7058,Kunststoff,Prismenfräser,Schneiden
Maschine 3169,Drehmaschine,3985,"Holz,Stein,Kunststoff","Prismenfräser,Walzfräser",Drehen
Maschine 3170,Druckmaschine,3677,"Textil,Keramik","Heizelement,Laser",Drucken
Maschine 3171,Schleifmaschine,8419,"Metall,Holz",Schleifpapier,Schleifen
Maschine 3172,CNC-Fräse,1473,"Metall,Kunststoff,Stein","Prismenfräser,Walzfräser","Schneiden,Drehen,Drehen"
Maschine 3173,Drehmaschine,6468,"Kunststoff,Holz","Prismenfräser,Messer,Bohrer",Drehen
Maschine 3174,Drehmaschine,6540,"Kunststoff,Holz","Prismenfräser,Messer",Drehen
Maschine 3175,Lackiermaschine,6092,"Kunststoff,Holz",Lackierpistole,Lackieren
Maschine 3176,Spritzgussmaschine,8462,Metall,Duese,Giessen
Maschine 3177,Roboterarm,2183,"Glas,Holz",Wasserstrahl,"Schweißen,Lackieren"
Maschine 3178,Wasserstrahlschneidmaschine,2588,"Glas,Stein",Wasserstrahl,Schneiden
Maschine 3179,Roboterarm,46,"Textil,Metall,Stein",Messer,"3D-Drucken,Bohren"
Maschine 3180,FTS,6621,"Keramik,Stein",Greifer,Transportieren
Maschine 3181,Druckmaschine,4141,"Keramik,Textil",Laser,Lackieren
Maschine 3182,Schleifmaschine,1710,Holz,Schleifpapier,Schleifen
Maschine 3183,Drehmaschine,81,"Holz,Stein","Messer,Prismenfräser",Drehen
Maschine 3184,Laserschneidmaschine,2616,Glas,Heizelement,Bohren
Maschine 3185,Laserschneidmaschine,4620,Stein,Heizelement,Stanzen
Maschine 3186,3D-Drucker,283,Metall,Duese,3D-Drucken
Maschine 3187,Drehmaschine,8456,"Stein,Holz","Bohrer,Prismenfräser",Drehen
Maschine 3188,Wasserstrahlschneidmaschine,3471,"Verbundwerkstoff,Glas",Wasserstrahl,Schneiden
Maschine 3189,Schleifmaschine,7958,"Holz,Metall,Kunststoff",Schleifpapier,Schleifen
Maschine 3190,Spritzgussmaschine,3088,Metall,Duese,Giessen
Maschine 3191,Lackiermaschine,6925,"Holz,Glas",Lackierpistole,Lackieren
Maschine 3192,Schleifmaschine,2123,"Kunststoff,Stein",Schleifpapier,Schleifen
Maschine 3193,Lackiermaschine,4237,Verbundwerkstoff,Lackierpistole,Lackieren
Maschine 3194,FTS,1462,Glas,Greifer,Transportieren
Maschine 3195,FTS,7335,"Papier,Stein",Greifer,Transportieren
Maschine 3196,Lackiermaschine,8759,"Kunststoff,Verbundwerkstoff",Lackierpistole,Lackieren
Maschine 3197,Roboterarm,4353,Kunststoff,"Bohrer,Greifer,Messer","Drehen,3D-Drucken,Schleifen"
Maschine 3198,FTS,1137,"Papier,Beton",Greifer,Transportieren
Maschine 3199,Verpackungsmaschine,2294,Papier,Foerderband,Biegen
Maschine 3200,3D-Drucker,6423,Metall,Greifer,3D-Drucken
Maschine 3201,Verpackungsmaschine,7847,Kunststoff,Foerderband,Transportieren
Maschine 3202,Schleifmaschine,4876,"Stein,Holz,Metall",Schleifpapier,Schleifen
Maschine 3203,Verpackungsmaschine,4102,Papier,Foerderband,Transportieren
Maschine 3204,FTS,1484,"Metall,Glas,Keramik",Greifer,Transportieren
Maschine 3205,Spritzgussmaschine,4991,Metall,Duese,Giessen
Maschine 3206,Lackiermaschine,8063,"Stein,Verbundwerkstoff",Lackierpistole,Lackieren
Maschine 3207,Laserschneidmaschine,4121,"Kunststoff,Glas,Verbundwerkstoff",Laser,"Stanzen,Bohren"
Maschine 3208,Drehmaschine,542,"Metall,Kunststoff","Prismenfräser,Walzfräser,Messer",Drehen
Maschine 3209,3D-Drucker,2433,Metall,Greifer,3D-Drucken
Maschine 3210,3D-Drucker,4216,Kunststoff,Duese,3D-Drucken
Maschine 3211,Spritzgussmaschine,3256,Metall,Duese,Giessen
Maschine 3212,Schleifmaschine,535,"Stein,Kunststoff,Metall",Schleifpapier,Schleifen
Maschine 3213,CNC-Fräse,2569,"Holz,Kunststoff,Stein","Prismenfräser,Bohrer,Walzfräser","Fräsen,Drehen,Drehen"
Maschine 3214,Wasserstrahlschneidmaschine,3654,"Beton,Verbundwerkstoff,Kunststoff",Wasserstrahl,Schneiden
Maschine 3215,Laserschneidmaschine,4888,"Metall,Verbundwerkstoff,Holz",Heizelement,Schneiden
Maschine 3216,Druckmaschine,5041,Papier,"Heizelement,Lackierpistole",Lackieren
Maschine 3217,Roboterarm,3503,Papier,"Wolframelektrode,Elektrode",Schleifen
Maschine 3218,Spritzgussmaschine,2218,Metall,Duese,Giessen
Maschine 3219,Verpackungsmaschine,5348,Kunststoff,Foerderband,Transportieren
Maschine 3220,3D-Drucker,6528,Metall,Duese,3D-Drucken
Maschine 3221,Lackiermaschine,8301,"Verbundwerkstoff,Stein,Holz",Lackierpistole,Lackieren
Maschine 3222,Schleifmaschine,1927,"Stein,Kunststoff,Metall",Schleifpapier,Schleifen
Maschine 3223,Laserschneidmaschine,7193,"Verbundwerkstoff,Glas,Kunststoff",Heizelement,"Fräsen,Schneiden,Stanzen"
Maschine 3224,Verpackungsmaschine,8958,Kunststoff,Foerderband,Biegen
Maschine 3225,Drehmaschine,9879,"Holz,Stein","Bohrer,Prismenfräser,Walzfräser",Drehen
Maschine 3226,Presse,8420,"Kunststoff,Metall",Messer,Stanzen
Maschine 3227,Druckmaschine,7947,Keramik,Lackierpistole,Drucken
Maschine 3228,Lackiermaschine,7584,"Metall,Verbundwerkstoff",Lackierpistole,Lackieren
Maschine 3229,3D-Drucker,286,Metall,Greifer,3D-Drucken
Maschine 3230,Presse,3755,Kunststoff,Messer,Pressen
Maschine 3231,Roboterarm,1120,"Kunststoff,Verbundwerkstoff",Lackierpistole,Schweißen
Maschine 3232,Wasserstrahlschneidmaschine,6205,"Stein,Holz,Beton",Wasserstrahl,Schneiden
Maschine 3233,Verpackungsmaschine,4564,Papier,Foerderband,Transportieren
Maschine 3234,Presse,4208,"Kunststoff,Holz",Messer,Pressen
Maschine 3235,Laserschneidmaschine,5503,"Stein,Holz,Verbundwerkstoff",Laser,"Stanzen,Bohren"
